gares,UIC,2015,2016,2017,2018,latitude,longitude
JAVEL,87393066,3558090,358331825386,3667671,3604422,48.8462046,2.2768401000000003
DOUAI,87345009,3636078,357992062788,3717750,3529027,50.371677000000005,3.089986
THIONVILLE,87191007,3429150,34981961274,3734836,3483254,49.353931,6.169543
ACHERES VILLE,87381657,3389509,345456761476,3497615,3478859,48.97011,2.0773900000000003
SAINT MICHEL SUR ORGE,87545202,3255519,335084019775,3427512,3440535,48.635479,2.306632
CAEN,87444000,3938070,371389456188,3859991,3429729,49.176353999999996,-0.347613
PUTEAUX,87382382,3058872,320184295115,3336009,3403590,48.88351,2.2335
HERBLAY,87381889,3242086,334290431143,3453744,3376706,48.99042,2.16208
ROISSY EN BRIE,87116038,3333894,33224092,3373169,3363592,48.795481,2.6501650000000003
PERSAN BEAUMONT,87276469,2660788,284841940272,3187735,3323193,49.14795,2.27914
LE BRAS DE FER,87681395,2937923,308688765234,3223305,3304684,48.623287,2.450625
BOULAINVILLIERS,87543181,3738696,362618137145,3484634,3292688,48.85645,2.2751490000000003
LE CHENAY GAGNY,87113522,3206601,324834298,3300509,3290584,48.877129,2.552692
CHARTRES,87394007,3500835,333684442643,3307062,3215899,48.4482023,1.4813128
GARGAN,87113860,3304052,327875268738,3254913,3168193,48.908159000000005,2.517109
DEUIL MONTMAGNY,87276345,3316444,320424504004,3147953,3127940,48.97589,2.33785
CERNAY (VAL D'OISE),87276063,3054511,311741149449,3047339,3033411,48.98539,2.2568
MITRY CLAYE,87271528,2979341,301912778648,3035110,2991182,48.97569,2.64247
CHANTILLY GOUVIEUX,87276113,3026896,310305792145,3206190,2957347,49.18724,2.4597900000000004
FONTAINEBLEAU AVON,87682211,3118478,309516075616,3031255,2942246,48.416371000000005,2.72634
MEUDON VAL FLEURY,87393082,2979631,299349187943,2996579,2938907,48.8079884,2.2409044999999996
LA BARRE ORMESSON,87271171,2976624,293610888327,2884526,2929551,48.96633,2.31688
PLAISIR GRIGNON,87393421,3138791,310133238049,3048117,2913422,48.8316509,1.9432973000000002
PARC DES EXPOSITIONS,87271486,2612134,272157462454,2824709,2874772,48.97334,2.51382
LE VERT DE MAISONS,87681247,3318507,318740951918,3048839,2862439,48.78934,2.43148
LES BOULLEREAUX CHAMPIGNY,87113779,2717423,277942384,2830630,2834592,48.824926,2.5118840000000002
SELESTAT,87214056,2578087,260772643758,2781454,2821892,48.2601166,7.443278
FONTENAY LE FLEURY,87393405,1914732,221590820759,2549920,2800672,48.8074032,2.0404603
PONT DU GARIGLIANO HOPITAL EUROPEEN GEORGES POMPIDOU,87393322,3118530,304843258525,2929009,2781983,48.839464,2.2712276
NEUVILLE UNIVERSITE,87334482,2580329,266342805221,2746573,2781923,49.01426,2.0788599999999997
EPINAY SUR ORGE,87545228,2903793,289063399316,2860910,2779445,48.66952,2.33182
ANNECY,87746008,2794841,277115647108,2988615,2761473,45.901965000000004,6.121835
SAINT GRATIEN,87276170,2955883,291999868741,2857361,2754341,48.96403,2.28531
VILLEPINTE,87271452,2288219,244444719221,2603779,2728842,48.962920000000004,2.51205
COMPIEGNE,87276691,2895161,284738486428,2891990,2705066,49.422005,2.8236790000000003
AVIGNON CENTRE,87765008,2886282,292740170732,3219374,2698161,43.9419,4.805281
DOMONT,87276436,2713221,267923326596,2673396,2694723,49.03268,2.3374599999999996
CESSON,87682161,2259694,241370257125,2564062,2664844,48.56563,2.5938
LES GRESILLONS,87272146,2397646,247982760711,2643726,2664500,48.92007,2.3144099999999996
NICE RIQUIER,87756353,2260849,224396477161,2781357,2645310,43.705554,7.290175
VERNOUILLET VERNEUIL,87386656,2575736,265641479699,2663237,2620454,48.98118839999999,1.9828731
LES ARDOINES,87492108,2454343,251348769082,2578806,2582887,48.782945,2.409046
ETAMPES,87545137,2361226,245463022648,2526177,2564122,48.436661,2.159468
VILLEFRANCHE SUR SAONE,87721332,2603240,261724166666,2719939,2548401,45.9845,4.72077
LA ROCHELLE,87485003,2358417,221434190286,2585445,2480334,46.15269,-1.145305
ISSY,87393074,2469582,249154289961,2511813,2474811,48.8201001,2.2593468999999997
MARLY LE ROI,87382465,2275377,23479232,2433967,2472028,48.8713084,2.0965436
SURESNES MONT VALERIEN,87382374,2562233,254444219484,2518115,2440628,48.87155,2.22131
LA FERTE SOUS JOUARRE,87116517,1994958,216252412421,2319270,2425645,48.950741,3.125577
OZOIR LA FERRIERE,87116020,2374519,239659328774,2436285,2424018,48.770720000000004,2.689841
ANTIBES,87757674,2317469,224494551562,2552547,2419641,43.585784000000004,7.119497999999999
LE VAL D'OR,87382366,1327067,16292476329,1997649,2410751,48.85645,2.21636
LE MEE,87682179,2431688,243957433375,2438581,2400119,48.540085999999995,2.624116
SAINT LEU LA FORET,87276600,2198526,227078451758,2343136,2395427,49.01571,2.24264
ESBLY,87116327,2166527,22323905835,2289041,2298933,48.90314191,2.81059946
CLAMART,87391565,2943676,27440045231,2539761,2298488,48.813844,2.2733272999999996
CHATEAU THIERRY,87116582,2405027,233622870789,2373632,2283745,49.038224,3.409514
VALENCE,87761007,2651104,256470563968,2618268,2261884,44.928049,4.893273000000001
LYON SAINT EXUPERY TGV,87762906,1552063,1557490625,1862562,2226514,45.721109000000006,5.074969
LE STADE,87381095,2499049,237403477428,2300929,2208328,48.93093,2.26056
BOURGOIN JALLIEU,87723429,2007369,212627692239,2298427,2206686,45.583954,5.273401
SEVRES RIVE GAUCHE,87393124,2549186,245195998347,2344921,2206397,48.8214311,2.2147536
ORANGIS BOIS DE L'EPINE,87681346,2425727,237283075929,2308037,2203483,48.63626,2.407736
BETHUNE,87342006,2284929,221995796264,2306104,2180644,50.521440000000005,2.64055
BREST,87474007,2066652,203950472084,2137171,2152505,48.38811,-4.478903
RIS ORANGIS,87681338,1668234,182952326544,1999878,2144621,48.659442,2.4144200000000002
BESANCON VIOTTE,87718007,2333037,224275902357,2327766,2141025,47.247019,6.022003
RAMBOUILLET,87393314,2522284,238014024619,2209177,2134612,48.64377,1.8315400000000002
MENTON,87756486,1966341,201560234433,2307566,2130190,43.774444,7.4933
VERNON GIVERNY,87415604,2177390,216453360286,2302467,2113097,49.091336,1.4785700000000002
CREPY EN VALOIS,87271593,1951551,219684549203,2653817,2104530,49.231235,2.8864693999999997
GENNEVILLIERS,87271205,2210303,217623786346,2169888,2081573,48.933679999999995,2.3069900000000003
DUNKERQUE,87281006,2192362,210168116826,2196217,2079125,51.03047,2.368961
BOURG EN BRESSE,87743005,2230804,21600187365,2267600,2078542,46.200351,5.215063
CHAMP DE COURSES D'ENGHIEN,87276030,2210677,212731303556,2072979,2066509,48.97975,2.29189
LE HAVRE,87413013,2187132,202626058466,2177533,2064894,49.492996000000005,0.125677
HAGUENAU,87213058,1993420,196698522258,2078626,2057877,48.813449799999994,7.782725500000001
