UIC,gares,insee,dep,lat long,geo-2
87713321,Collonges-et-Premières,21183,21,47.2286386774,5.29199814457
87181222,Colmar,68066,68,48.1099351321,7.38486798963
87182014,Colmar,68066,68,48.1099351321,7.38486798963
87402297,Colmar,68066,68,48.1099351321,7.38486798963
87381087,Colombes,92025,92,48.9227528882,2.24705328629
87381095,Colombes,92025,92,48.9227528882,2.24705328629
87184556,Colombier-Fontaine,25159,25,47.4471217839,6.6901528799
87762906,Colombier-Saugnieu,69299,69,45.7179851635,5.10351599474
87353581,Colomiers,31149,31,43.6117157216,1.32696731398
87611467,Colomiers,31149,31,43.6117157216,1.32696731398
87611921,Colomiers,31149,31,43.6117157216,1.32696731398
87478057,Combourg,35085,35,48.4087537,-1.7453444164
87682146,Combs-la-Ville,77122,77,48.6577913774,2.57487975189
87641415,Commentry,3082,3,46.2790276616,2.74956896287
87175257,Commercy,55122,55,48.7463241637,5.55618923146
87394486,Commune nouvelle d'Arrou,28012,28,48.099479654,1.13312271951
87394494,Commune nouvelle d'Arrou,28012,28,48.099479654,1.13312271951
87272047,Compans,77123,77,48.9893722965,2.65691642653
87276691,Compiègne,60159,60,49.3992614658,2.85289637822
87387159,Conches-en-Ouche,27165,27,48.9546952063,0.932013538332
87381459,Conflans-Sainte-Honorine,78172,78,48.9999968636,2.09892875496
87381897,Conflans-Sainte-Honorine,78172,78,48.9999968636,2.09892875496
87396218,Conlie,72089,72,48.1220527823,-0.0131066660726
87144287,Contrexéville,88114,88,48.1850829657,5.89285888635
87345116,Corbehem,62240,62,50.3348414543,3.04767331296
87681007,Corbeil-Essonnes,91174,91,48.6039638404,2.46946154262
87681403,Corbeil-Essonnes,91174,91,48.6039638404,2.46946154262
87681601,Corbeil-Essonnes,91174,91,48.6039638404,2.46946154262
87185629,Corbenay,70171,70,47.8955524062,6.33317303919
87313056,Corbie,80212,80,49.9203593037,2.49496782006
87696617,Corbigny,58083,58,47.2561098391,3.6894025401
87745828,Corbonod,1118,1,45.9661530046,5.78964150596
87272286,Corcy,2216,2,49.25474512,3.19692081127
87481820,Cordemais,44045,44,47.2972826874,-1.83534653998
87713537,Corgoloin,21194,21,47.0814792885,4.93501885305
87381863,Cormeilles-en-Parisis,95176,95,48.9686535127,2.19920030356
87571430,Cormery,37083,37,47.2591985053,0.846667259542
87594481,Cornil,19061,19,45.2136599468,1.69698960941
87471326,Corps-Nuds,35088,35,47.9824262019,-1.57015943806
87594119,Corrèze,19062,19,45.3652093358,1.87049583724
87696146,Cosne-Cours-sur-Loire,58086,58,47.4028276218,2.94265337716
87571810,Coteaux-sur-Loire,37232,37,47.3033469757,0.305208649589
87172262,Coucy,8133,8,49.5097684993,4.46209672168
87171769,Coucy-lès-Eppes,2218,2,49.5563125888,3.77818875872
87281402,Coudekerque-Branche,59155,59,51.0178388256,2.39488332647
87481804,Couëron,44047,44,47.2307403183,-1.7302345396
87615120,Couffoulens,11102,11,43.1546680098,2.30507523795
87615328,Coufouleux,81070,81,43.7978637815,1.73155091574
87696831,Coulanges-sur-Yonne,89119,89,47.5414719799,3.52420210384
87116301,Coulommiers,77131,77,48.8123409413,3.09127290305
87382002,Courbevoie,92026,92,48.8984143195,2.25569361312
87382200,Courbevoie,92026,92,48.8984143195,2.25569361312
87571448,Courçay,37085,37,47.2489468479,0.884146838882
87342063,Courcelles-le-Comte,62248,62,50.1577988106,2.77609358689
87192211,Courcelles-sur-Nied,57156,57,49.0569758156,6.30817794965
87171710,Courcy,51183,51,49.320038117,4.00626887895
87734152,Cournon-d'Auvergne,63124,63,45.7430206245,3.18639802958
87781161,Coursan,11106,11,43.2476594634,3.05897089509
87765180,Courthézon,84039,84,44.0867869839,4.88207529864
87394221,Courville-sur-Eure,28116,28,48.4521438028,1.24877000181
87718270,Cousance,39173,39,46.5338094979,5.37739588417
87447110,Coutances,50147,50,49.0571468503,-1.44308465759
87584516,Coutras,33138,33,45.0392465634,-0.10556524413
87721241,Couzon-au-Mont-d'Or,69068,69,45.8479711017,4.8217574054
87271601,Coyolles,2232,2,49.213314029,3.0127634845
87313544,Cramoisy,60173,60,49.2485305606,2.39478724281
87613232,Cransac,12083,12,44.5188182566,2.28719429638
87725713,Crêches-sur-Saône,71150,71,46.2410523669,4.78766778898
87116749,Crécy-la-Chapelle,77142,77,48.8567609194,2.93346974004
87116772,Crécy-la-Chapelle,77142,77,48.8567609194,2.93346974004
87276006,Creil,60175,60,49.2531777243,2.48413521531
87296152,Crépy,2238,2,49.6082930921,3.51204526826
87271593,Crépy-en-Valois,60176,60,49.2360313344,2.89681034595
87761783,Crest,26108,26,44.7331391468,5.02192981215
87608802,Créteil,94028,94,48.7837687614,2.45472894956
87396226,Crissé,72109,72,48.1807119411,-0.0646670991314
87281055,Croix,59163,59,50.6737976826,3.15522703421
87271874,Crouy,2243,2,49.407533294,3.36538769055
87116640,Crouy-sur-Ourcq,77148,77,49.0867966598,3.07965080423
87491266,Cubzac-les-Ponts,33143,33,44.9695595999,-0.445545094275
87755355,Cuers,83049,83,43.2412258505,6.0683365142
87481457,Cugand,85076,85,47.0604142951,-1.2528880141
87342410,Cuinchy,62262,62,50.5190873399,2.74654786546
87741074,Culoz,1138,1,45.8562617307,5.78389667186
87214551,Dachstein,67080,67,48.5535411362,7.54049947198
87214213,Dambach-la-Ville,67084,67,48.3233956589,7.42703535836
87141135,Damelevières,54152,54,48.5661210577,6.39186817046
87615484,Damiatte,81078,81,43.6803855869,1.98481602567
87682500,Dammarie-les-Lys,77152,77,48.5136766826,2.62875609634
87575126,Dangé-Saint-Romain,86092,86,46.9269069086,0.608120874843
87700146,Danjoutin,90032,90,47.6180390875,6.86724396945
87182253,Dannemarie,68068,68,47.6250401628,7.12124276818
87718312,Dannemarie-sur-Crète,25195,25,47.2068295563,5.86528959425
87315044,Daours,80234,80,49.9034899977,2.4385339421
87721449,Dardilly,69072,69,45.8121902924,4.74691279908
87721480,Dardilly,69072,69,45.8121902924,4.74691279908
87673202,Dax,40088,40,43.7009419312,-1.05965633409
87444372,Deauville,14220,14,49.3547366705,0.0752828881911
87696484,Decize,58095,58,46.808743278,3.46609970375
87613174,Dégagnac,46087,46,44.669380563,1.32749341205
87184440,Delle,90033,90,47.5084079179,6.99626778285
87718429,Deluz,25197,25,47.2969687536,6.19367430777
87343459,Denain,59172,59,50.3303818316,3.38979549095
87297143,Dercy,2261,2,49.7099688626,3.68441549798
87212183,Dettwiller,67089,67,48.7607965436,7.45395417354
87271171,Deuil-la-Barre,95197,95,48.9717160421,2.32643319675
87276345,Deuil-la-Barre,95197,95,48.9717160421,2.32643319675
87172064,Deville,8139,8,49.874874808,4.69358869544
87761841,Die,26113,26,44.7481354866,5.37683596238
87215665,Diemeringen,67095,67,48.9438729574,7.20410145752
87415018,Dieppe,76217,76,49.9218354733,1.08717241536
87141812,Dieulouard,54157,54,48.8339834627,6.0555226807
87611681,Dieupentale,82048,82,43.8694873673,1.28006006168
87694695,Digoin,71176,71,46.4892097855,4.02567591777
87713008,Dijon,21231,21,47.3228511683,5.037467641
87713040,Dijon,21231,21,47.3228511683,5.037467641
87478164,Dinan,22050,22,48.4461206944,-2.05130250908
87478040,Dingé,35094,35,48.3469779324,-1.71025714744
87474015,Dirinon,29045,29,48.4008511813,-4.26921133775
87575191,Dissay,86095,86,46.6963657715,0.443064859931
