gares,total_2018,latitude,longitude
AVIGNON TGV,3652860,43.921586,4.786079
AVIGNONET,17746,43.363876899999994,1.7872686999999998
AVORD,27513,47.0349061,2.6523757000000003
AVRANCHES,16954,48.6902445,-1.3700755
AX LES THERMES,68712,42.7247967,1.8332515999999999
BAILLARGUES,156311,43.6533234,4.0071585
BAILLEUL,944255,50.72916,2.73445
BALBIGNY,77780,45.817858,4.187443
BALSIEGES BOURG,6,44.4820108,3.4560976
BANASSAC LA CANOURGUE,3646,44.447763200000004,3.1958518
BANDOL,304322,43.140344,5.750118
BARENTIN,222939,49.549123,0.9535170000000001
BARSAC,17065,44.605430600000005,-0.3215775
BAS MONISTROL,82163,45.297596,4.139602
BAULE,14919,47.811753499999995,1.6681270000000001
BAUME LES DAMES,160265,47.353937,6.359603
BAYEUX,489769,49.269836,-0.698056
BAYONNE,829006,43.496801,-1.470306
BAZIEGE,50573,43.4535696,1.6205018999999998
BEARD,580,46.8652207,3.3179943999999995
BEAUGENCY,336506,47.778365,1.6259379999999999
BEAULIEU SUR MER,501699,43.706651,7.331544999999999
BEAUMONT LE ROGER,13543,49.0741722,0.7727864999999999
BEAUNE,843437,47.023053000000004,4.848379
BEAUTIRAN,235945,44.701041,-0.45016999999999996
BEDARIEUX,15337,43.6086972,3.1495688
BEDARRIDES,20795,44.0407636,4.8931321
BEDOUS,12640,42.99589,-0.60348
BEGLES,27100,44.799538899999995,-0.5552495
BEILLANT,11,45.7007999,-0.5265079
BELLAC,23075,46.1252044,1.0461168
BELLENAVES,6547,46.199256,3.0665239
BELLEVILLE SUR SAONE,850238,46.111917,4.729028
BELLIGNAT,5208,46.2381265,5.6298849
BELVES,7242,44.777397799999996,1.0118831
BENESSE MAREMNE,9254,43.6277484,-1.3698504999999999
BENGY,12622,47.0004698,2.7492361
BERGERAC,271436,44.857061,0.489174
BERGUES,178905,50.96901,2.4257400000000002
BERNAY,447200,49.087102,0.595634
BESANCON MOUILLERE,76137,47.240372,6.03391
BESANCON VIOTTE,1948332,47.247019,6.022003
BESSAY,11071,46.4435849,3.3606477
BETHUNE,1744515,50.521440000000005,2.64055
BETTON,57640,48.1814803,-1.6344745
BEYNOST,198025,45.833915000000005,5.006969000000001
BEZIERS,1214111,43.33633,3.218873
BIARRITZ,496224,43.459396999999996,-1.545915
BIDARRAY PONT NOBLIA,1739,43.26829910000001,-1.3453233
BIGANOS FACTURE,853936,44.637384000000004,-0.96621
BILLY MONTIGNY,221159,50.41556,2.91206
BIOT,227496,43.610951,7.12609
BLAISY BAS,35558,47.373442700000005,4.7410755
BLANQUEFORT,112764,44.917556,-0.62392
BOEN,11921,45.7413612,4.0051544
BOIS D'OINGT LEGNY,28578,45.9065839,4.575043
BOISSEAUX,7042,48.25662379999999,1.9727681000000001
BOLBEC NOINTOT,6070,49.5914657,0.48482
BOLLENE LA CROISIERE,115731,44.271525,4.707908
BONNEVAL,35211,48.186295799999996,1.3861845
BONNEVILLE,229975,46.077771999999996,6.416524
BONS EN CHABLAIS,93004,46.270046,6.366246
BONSON,57138,45.5221941,4.2163084
BORDS,6178,45.8944625,-0.7985436
BORNEL BELLE EGLISE,278858,49.19471,2.20717
BOUAYE,26796,47.1380806,-1.6810991999999998
BOUCAU,6848,43.5234217,-1.4905872
BOULOGNE TINTELLERIES,286180,50.72729,1.60904
BOULOURIS SUR MER,11894,43.4163471,6.8082519
BOURBOURG,14818,50.952267,2.1942305
BOURG EN BRESSE,1662833,46.200351,5.215063
BOURGES,843252,47.094145000000005,2.394255
BOURGNEUF EN RETZ,14560,47.046963399999996,-1.9551942
BOURGOIN JALLIEU,1765349,45.583954,5.273401
BOURGTHEROULDE THUIT HEBERT,1534,49.3174381,0.8383198000000001
BOURNEZEAU,729,46.6518258,-1.1806169
BOUSSAY LA BRUFFIERE,14045,47.050574100000006,-1.1828046
BOUSSENS,167352,43.179617,0.972543
BOUTHEON,33990,45.524628899999996,4.2777187
BRAM,55774,43.2441014,2.1191467
BRAX LEGUEVIN,191089,43.614887,1.2369219999999999
BRAZEY EN PLAINE,36959,47.1314549,5.2121276
BREAUTE BEUZEVILLE,514962,49.603396000000004,0.41748900000000005
BREIL SUR ROYA,60658,43.944039000000004,7.516327599999999
