gares,UIC,2015,2016,2017,2018,latitude,longitude
VICHY,87732008,1582311,1523366,1618912,1492395,46.126979,3.430448
MAINTENON,87394130,1520697,1509775,1512294,1482831,48.585479299999996,1.5920651000000001
CAGNES SUR MER,87756320,1228108,1277646,1580673,1475745,43.65813,7.148639999999999
AMBERIEU EN BUGEY,87743716,1494362,1485292,1529395,1460784,45.954008,5.342388
NIORT,87485300,1543207,1587163,1569364,1458181,46.319491,-0.454639
BELLEGARDE,87745000,1773757,1698814,1690035,1439345,46.109425,5.823483
SAINT MALO,87478107,1384542,1365971,1455429,1419742,48.646859,-2.0041580000000003
MACON,87725689,1548756,1435012,1528102,1418697,46.302572,4.824887
AGEN,87586008,1478938,1427026,1493068,1386499,44.208311,0.6209319999999999
SENS,87683003,1505422,1449975,1483784,1373396,48.197856,3.267833
EVREUX NORMANDIE,87387001,1424346,1384892,1453288,1361615,49.018747999999995,1.149629
SAINT QUENTIN,87296004,1449102,1414802,1456884,1353523,49.840048200000005,3.2970089
LISIEUX,87444265,1417690,1382450,1443522,1338043,49.138298999999996,0.231143
TROYES,87118000,1372489,1327844,1402309,1325089,48.296069,4.065281
CHARLEVILLE MEZIERES,87172007,1545897,1443011,1444131,1301109,49.767915,4.724952
HAGONDANGE,87191114,1442705,1381611,1341267,1267737,49.25356,6.16448
EPINAL,87144006,1429632,1351856,1381686,1267087,48.178005,6.441787000000001
SAINT RAPHAEL VALESCURE,87757526,1525346,1457285,1520480,1258954,43.423559999999995,6.769083
BELFORT,87184002,1449299,1324521,1432741,1258503,47.633284,6.853956
SETE,87773200,1311831,1363707,1416411,1233488,43.412485,3.69656
PONT A MOUSSON,87141820,1224280,1171744,1214638,1229133,48.90058,6.050841999999999
MONTEREAU,87682302,1169669,1186828,1255791,1220944,48.379934000000006,2.942972
CHAMPAGNE ARDENNE TGV,87171926,1147157,1125130,1236603,1211919,49.214806,3.994632
