origin,destination
85010074,85010033
85010074,85010066
85010074,85010074
85010074,85010082
85010074,87745000
85010074,87745380
85010074,87745901
85010082,85010009
85010082,85010025
85010082,85010033
85010082,85010066
85010082,85010074
85010082,85010082
85010082,85010116
85010082,85010124
85010082,85010132
85010082,85010140
85010082,85010157
85010082,85010207
85010082,85010215
85010082,85010223
85010082,85010231
85010082,85161554
85010082,85162727
85010082,85162735
85010082,85162750
85010082,85162834
85010082,85171421
85010082,87723197
85010082,87723585
85010082,87741009
85010082,87741074
85010082,87741132
85010082,87741181
85010082,87741504
85010082,87743716
85010082,87743757
85010082,87745000
85010082,87745380
85010082,87745497
85010082,87745588
85010082,87745596
85010082,87745620
85010082,87745646
85010082,87745679
85010082,87745828
85010082,87745901
85010082,87746008
85010082,87746107
85010082,87746115
85010082,87746149
85010082,87746305
85010082,87746313
85010082,87746339
85010082,87746347
85010082,87746370
85010082,87746412
85010082,87746438
85010082,87746479
85010082,87746511
85010082,87747006
85010082,87747329
85010082,87747402
85010082,87747493
85010082,87761007
85010082,87761247
85010082,87761650
85010082,87761684
85010082,87761718
85010082,87761726
85010082,87761759
85010082,87763029
85010082,87764001
85010082,87764308
85010082,87764357
85010082,87765008
85010082,87765107
85010116,85010082
85010116,85010116
85010116,85010124
85010116,85010132
85010116,85010140
85010116,85010157
85010116,85010207
85010116,85010215
85010116,85010223
85010116,85010231
85010116,85161554
85010116,85162727
85010116,85162735
85010116,85162750
85010116,85162834
85010116,85171421
85010116,87745497
85010116,87745588
85010116,87745596
85010116,87745620
85010116,87745646
85010116,87745679
85010116,87746305
85010116,87746313
85010116,87746339
85010116,87746347
85010116,87746370
85010116,87746412
85010116,87746438
85010116,87746479
85010116,87746511
85010124,85010082
85010124,85010116
85010124,85010124
85010124,85010132
85010124,85010140
85010124,85010157
85010124,85010207
85010124,85010215
85010124,85010223
85010124,85010231
85010124,85161554
85010124,85162727
85010124,85162735
85010124,85162750
85010124,85162834
85010124,85171421
85010124,87745497
85010124,87745588
85010124,87745596
85010124,87745620
85010124,87745646
85010124,87745679
85010124,87746305
85010124,87746313
85010124,87746339
85010124,87746347
85010124,87746370
85010124,87746412
85010124,87746438
85010124,87746479
85010124,87746511
85010132,85010082
85010132,85010116
85010132,85010124
85010132,85010132
85010132,85010140
85010132,85010157
85010132,85010207
85010132,85010215
85010132,85010223
85010132,85010231
85010132,85161554
85010132,85162727
85010132,85162735
85010132,85162750
85010132,85162834
85010132,85171421
85010132,87745497
85010132,87745588
85010132,87745596
85010132,87745620
85010132,87745646
85010132,87745679
85010132,87746305
85010132,87746313
85010132,87746339
85010132,87746347
85010132,87746370
85010132,87746412
85010132,87746438
85010132,87746479
85010132,87746511
85010140,85010082
85010140,85010116
85010140,85010124
85010140,85010132
85010140,85010140
85010140,85010157
85010140,85010207
85010140,85010215
85010140,85010223
85010140,85010231
85010140,85161554
85010140,85162727
85010140,85162735
85010140,85162750
85010140,85162834
85010140,85171421
85010140,87745497
85010140,87745588
85010140,87745596
85010140,87745620
85010140,87745646
85010140,87745679
85010140,87746305
85010140,87746313
85010140,87746339
85010140,87746347
85010140,87746370
85010140,87746412
85010140,87746438
85010140,87746479
85010140,87746511
85010157,85010082
85010157,85010116
85010157,85010124
85010157,85010132
85010157,85010140
85010157,85010157
85010157,85010207
85010157,85010215
85010157,85010223
85010157,85010231
85010157,85161554
85010157,85162727
85010157,85162735
85010157,85162750
85010157,85162834
85010157,85171421
85010157,87745497
85010157,87745588
85010157,87745596
85010157,87745620
85010157,87745646
85010157,87745679
85010157,87746305
85010157,87746313
85010157,87746339
85010157,87746347
85010157,87746370
85010157,87746412
85010157,87746438
85010157,87746479
85010157,87746511
85010207,85010082
85010207,85010116
85010207,85010124
85010207,85010132
85010207,85010140
85010207,85010157
85010207,85010207
85010207,85010215
85010207,85010223
85010207,85010231
85010207,85161554
85010207,85162727
85010207,85162735
85010207,85162750
85010207,85162834
85010207,85171421
85010207,87745497
85010207,87745588
85010207,87745596
85010207,87745620
85010207,87745646
85010207,87745679
85010207,87746305
85010207,87746313
85010207,87746339
85010207,87746347
85010207,87746370
85010207,87746412
85010207,87746438
85010207,87746479
85010207,87746511
85010215,85010082
85010215,85010116
85010215,85010124
85010215,85010132
85010215,85010140
85010215,85010157
85010215,85010207
85010215,85010215
85010215,85010223
